Hashes	sum.taxonomy
forward_vp2_Metazoa_16s_709	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_711	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_716	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_3	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_21	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_172	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_181	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_196	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_197	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_231	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_320	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
merged_vp2_Metazoa_16s_331	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
